source,target
放弃,撤回 沙漠 自己 长 家庭 向上 给予 离开 确认 
腹部,腹部 食品 肌肉 正文 器官 肚子 脂肪 中间 胃 
绑架,将 力 走 携带 采取 绑架 人 赎金 犯罪 抢夺 离开 反对 偷 
能力,合格 力量 能力 能够 了解 才能 质量 人 有能力 任务 技能 能 知道 
有能力,将 有能力 行动 他 知道 
异常,奇怪 普通 不同 正常 
以上,天空 顶部 以上 下面 高 向上 
抽象,不同 艺术 想法 混凝土 真实 
荒谬,信仰 狂热 愚蠢 搞笑 嘲笑 疯狂 荒诞 平均 听到 极端 
丰度,很多 大量 财富 足够 大 
虐待,心理 情感 物理 伤害 疼痛 动词 人 
加速,快速 移动 速度 向上 增加 加油 
接受,感觉 同意 情感 人类 采取 理解 接收 位置 获取 意图 允许 礼品 行动 确认 
完成,成功 竞赛 目标 任务 技能 整个 结束 完成 成就 最终 填充 带来 实现 
手风琴,移动 生产 音乐 胸部 仪器 波纹管 按钮 密钥 波尔卡 磨损 大声 空气 
帐户,事件 财务 叙述 交易 钱 记录 银行 业务 相关 报告 写 
积累,获取 收集 向上 大量 
累计,时间 结束 向上 合计 添加 
准确,正确 精确 严格 准确 完美 点 
指责,责备 点 内gui 法律 法院 
ace,一个 播放 甲板 高 卡 
疼痛,刺穿 肌肉 轮胎 继续 舒适 经验 自愿 头 医学 休息 身体 伤害 关节 常数 行动 心烦 感觉 伤口 人类 血液 沉闷 慢 肌腱 情绪 物理骨 感官 神经 磅 情感 动物 请 生病 流感 心 
实现,完成 目标 获胜 成功 
成就,完成 目标 成功 实现 
酸,酸 锋利 馅饼 柠檬 电池 女人 妓女 糕点 化学 填充 烧伤 药物 甜 坏 危险 口味 起皱 糖果 食品 苦 脸 
声音,音乐 电动 吉他 噪声 仪器 声音 软 大声 耳朵 听到 波 
获取,学习 选择 目标 业务 拥有 接收 购买 偷偷摸摸 有了解 行动 增益 人类 采取 自己 某事 想要 需要 到达 给予 工作 知道 口味 动物 获取 对象 偷 
英亩,属性 件 土地 广场 区域 单位 措施 
杂技演员,健身房 运动员 执行 马戏团 把戏 空中飞人 flex 人 
行为,好 人类 一个 播放 坏 表演 方法 行为 
行动,移动 战斗 电影 行动 过程 
活动,移动 适合 体育 运动 工作 
演员,电影 播放 角色 电视 表演 行动 人 
女演员,女子 电影 播放 女性 电视 行动 成名 
急性,小 九十 角度 少 度 
广告,出售 生产 短 促销 公共 广告 购买 报纸 商业 
加,数学 更多 总和 减法 数字 
吸毒者,酒精 药物 习惯 依赖 需要 物质 使用 控制 人 
上瘾,酒精 药物 依赖 需要 渴望 
吸毒成瘾,酒精 药物 习惯 依赖 需要 停止 
加法,两个 数学 减法 加在一起 相反 加法 数字 
形容词,英语 描述 名词 语法 句子 
休会,结束 会议 离开 关闭 法院 
调整,移动 更改 调整 修复 
入场,门票 事件 承认 允许 输入 
承认,登录 两个 沟通 说 写 告诉 同意 允许 动词 行动 人类 毁灭 表达 接受 秘密 谈话 之间 请 输入 确认 
青春期,激素 性别 青少年 学校 青春期 期间 时间 成长 儿童 成熟 更改 年轻 成人 
青少年,少年 青春期 成长 儿童 成熟 年轻 成人 
可爱,爱 甜 婴儿 崇拜 可爱 吸引 漂亮 
成人,响应 旧 父母 成长 成熟 人 
前进,前进 
冒险,敢 外向 旅行 乐趣 新 风险 激发 探索 
副词,ly 描述 修改 语音 执行 部分 语法 结束 动词 
对手,敌人 竞争 对手 反对 
咨询,沟通 指南相反 当前 经验 忠告 要约 告诉 直接 律师 思想 声音 显示 行动 动词 权威 分享 生活 人类 给予 想法 工作 意见 建议 告知 指南 帮助 教学 谈话 信息 听 手表 
外遇,事件 外部 结婚 相关 作弊 
确认,状态 同意 正确 断言 确认 
非洲,第二 国家 人 南 大 大陆 
之后,后 之前 时间 跟随 晚 
再一次,更多 新 时间 结束 重复 
反对,倾斜 战斗 同意 反对 愤怒 
年龄,生活 旧 年 时间 数量 年轻 人 
永恒,美容 旧 年轻 时间 年龄 
机构,公司 办公室 业务 局 组 
议程,计划 列表 动机 日历 时间表 
同意,相同 来 是 显示 意见 接受 人 
协议,合同 相同 同意 妥协 人 
农业,食品 成长 收获 植物 农场 作物 
前面,向前 未来 返回 后面 之前 部分 前进 脸 第一 前面 
嗨,帆船 海盗 你好 船 问候 
目标,直接 任期 梦想 目标 枪 完成 意图 点 射击 足球 实现 
空气,生活 硬 口味 食品 旧 新鲜 冷 热 陈旧 呼吸 氧气 
飞机,直升机 天空 费用 机翼 按 金属 对象 座位 遥远 货物 举行 飞 人 崩溃 旅行 更改向上 平面 飞艇 车辆 翼 运输 运行 空气 机场 飞机 地面 人类 采取 私人 电梯 是 推进 引擎 目的地 空心 射流 定位 飞行员 机 巨大 大 
机场,飞机 旅行 土地 采取 平面 地方 关闭 
空气轴,空气 飞机 通风 
警报,警告 噪声 时钟 声音 警笛 警报 向上 危险 唤醒 意识到 大声 人 
专辑,音乐 书 收集 cd 记录 图片 照片 包含 歌曲 
酒精,酒 有毒 液体 饮料 
藻类,水 成长 植物 软泥 绿色 
一样,相同 不同 双胞胎 身份 关闭 
活着,移动 生活 死 呼吸 行动 
碱性,酸 酸碱度 表 电池 金属 碱性 周期 化学 元素 
全部,完整 没有任何内容 请假 包括 
忠诚,信仰 奉献 坚持 朋友 发誓 诚实 值得信赖 信任 承诺 忠诚 信念 真实 
过敏,食品 原因 花粉 正文 打喷嚏 反应 
鳄鱼,爬行动物 水 嘴里 游泳 长 吃 尾巴 牙齿 人 腿 规模 蛋 铺设 下颌 沼泽 四 电源 危险 下巴 动物 佛罗里达州 恐慌 大 绿色 
允许,允许 发生 给定 可以 
年历,本书 信息 年 天气 农场 
孤独,同伴 感觉 一个 与 悲伤 孤独 隔离 
字母,单词 人 纸 发送 邮件 符号 写 语言 字母 
好,水 满意 种类 人 孔 好的 同意 相反 健康 不好 积极 好 地面 对 还可以 坏 平均 深 接受 批准 朋友 很好 请 确定 伟大 
更改,一个 修改 调整 不同 修复 位置 更改 转换 
中音,声音 高 低 唱歌 基音 女性 
铝,银 金属 光 轻松 元素 
永远,有限 生活 爱 永远 由 最后 永恒 总是 继续 时间 结束 长 
是,早 状态 活动 一个 下午 轮胎 存在 时间 当前 早上 
业余,新手 新 专业 开始 支付 
惊奇,震惊 奇迹 印象深刻 惊喜 敬畏 
灵巧,两者 对 技能 离开 都可以 相等 手 
野心,想要 目标 驱动器 欲望 实现 
漫步,慢速 移动 缓和 漫步 
救护车,救援 车轮 四 红色 光 范 医疗 人 紧急情况 白 警笛 车辆 运输 生病 闪存 大声 医院 
美国,状态 团结 北 民主 美国 红色 国家 免费 白 统一 大陆 世界 蓝色 人 
数量,度量 许多 数量 总计 货币 
amp,电动 吉他 音乐 放大 声音 措施 大声 
逗,讨厌 搞笑 快乐 乐趣 喜剧 娱乐 欺负 玩笑 播放 兴趣 笑 
分析,通知 检查 查找 研究 数据 
无政府状态,命令 法律 混乱 规则 政府 
祖先,一个 旧 通过 有关 家庭 父亲 成员 
锚,动画 住宿 沉重 水槽 附加 金属 站 水 链 仍 绳子 风帆 举行 铁 船 大 
古代,历史 埃及 旧 通过 古董 
天使,好 晕 警卫队 翼 结束 白 神 天堂 人 
愤怒,两个 感觉 脾气 撒尿 情感 动物 复仇 疯狂 惩罚 请 关闭 神 愤怒 
角度,视图 两个 线 几何 措施 点 度 
生气,感觉 烦死 沮丧 狂热 情感 疯狂 红色 小便 理智 杂乱无章 生气 精神 愤怒 
茴香酒,酒 风味 酒精 利口酒 甘草 饮料 茴香 
脚踝,移动 旋转 步行 硬 腿部 脚 平衡 人类 肉 骨 肌肉 连接 称重 肌腱 正文 关节 弯曲 
歼灭,杀死 擦 毁灭 结束 完成 
宣布,通知 知道 告诉 公共 宣布 说 声明 人 
恼火,神经 母亲 人 激怒 愤怒 
恼人的,恼火 神经 讨厌的 耐心 害虫 沮丧 愤怒 噪声 母亲 Pester 激怒 大声 孩子 人 
每年,一次 十二 一天 一年 发生 月 生日 年 年份 每月 三百六十五 年度 周年 
另一个,相同 更多 一个 不同 添加 
答案,响应 问题 正确 对 测试 错 答复 解决方案 
蚂蚁,殖民地 天线 咬 山 地面 小 红色 爬网 昆虫 腿 六个 强 黑色 
食蚁兽,舌 鼻子 动物 长 吃 毛皮 哺乳动物 蚂蚁 
羚羊,鹿角 角 动物 哺乳动物 鹿 
解毒剂,药物 毒药 计数器 治愈 补救措施 
古董,古代 家具 旧 收集 价值 
鹿角,角 骨 动物 驼鹿 成长 部分 男性 头 鹿 点 分支机构 
焦虑,感觉 缓解 压力 担心 恐惧 
着急,神经 激发 期待 担心 等待 
分开,两个 拆分 数学 一起 远 一块 部分 在一起 离开 侧面 分开 组 
公寓,两个 生活 上升 卧室 小 窗口 电梯 房东 高 阳台 砖 生成 房子 浴室 租金 租户 提供 厨房 
冷漠,感觉 情感 关注 不同 缺乏 兴趣 同情 护理 
猿,动物园 动物 人类 猴子 头发 
道歉,感觉 原谅 错误 遗憾 说 对不起 
上诉,请求 询问 喜欢 吸引 欲望 
出现,魔术 看 向上 显示 
外观,看看 一个 出现 向上 显示 方式 人 
附肢,附加 手臂 腿 手指 正文 部分 
苹果,酸 营养 干闪耀 吃 奶奶 果汁 增长 水果 史密斯 小 核心 气味 健康 一轮 秋季 树 紧缩 甜 学校 皮肤 派 果皮 治愈 捡 口味 美味 毒药 引发 大 绿色 
装置,制冷 工具 电动 项目 炉灶 洗 吐司 房子 机 厨房 
应用程序,请求 窗体 纸张 作业 应用程序 填充 
评估,发现 判断 估计 确定 等级 测试 评估 价值 
